,Acoerulea,Aduranensis,Aipaensis,Alyrata,Aofficinalis,Athaliana,Atrichopoda,Bdistachyon,Boleracea,Brapa,Bvulgaris,Cannuum,Cclementina,Clanatus,Cmelo,Cpapaya,Crubella,Csativus,Cviolacea,Egrandis,Eguineensis,Esalsugineum,Fvesca,Fxananassa,Gmax,Graimondii,Gsoja,Ljaponicus,Macuminata,Mdomestica,Mesculenta,Mguttatus,Mtruncatula,Nattenuata,Nnucifera,Osativa,Othomaeum,Paxillaris,Phallii,Ppersica,Ptrichocarpa,Pvirgatum,Pvulgaris,Pxbretschneideri,Rchinensis,Roccidentalis,Sbicolor,Sitalica,Slycopersicum,Smelongena,Spolyrhiza,Stuberosum,Sviridis,Tcacao,Vcorymbosum,Vvinifera,Zjujuba,Zmays,Total
OG0006096,1,2,1,1,1,1,1,1,1,1,1,1,6,1,1,1,2,1,1,2,1,1,1,2,3,2,2,3,1,4,1,1,1,1,1,1,1,1,1,1,1,2,1,3,6,1,1,1,1,1,1,2,1,1,4,1,3,1,90
OG0006107,3,1,2,1,4,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,2,2,3,1,1,2,1,1,2,1,1,1,2,1,1,1,2,2,1,3,3,1,1,1,1,2,1,1,1,1,8,1,1,1,90
OG0006210,3,1,1,2,1,1,1,1,2,2,2,1,1,1,1,1,1,1,1,3,1,1,2,3,4,2,4,1,1,3,1,1,1,1,1,1,1,1,1,1,1,2,1,5,4,1,1,1,1,1,1,1,1,1,3,1,2,1,89
OG0006213,2,2,1,4,1,1,1,1,3,2,1,1,1,1,1,1,1,1,2,1,1,1,1,6,2,1,2,3,1,6,1,1,1,1,1,2,1,1,1,1,1,3,1,1,2,1,2,1,1,1,1,1,1,1,4,1,1,1,89
OG0006223,1,5,6,1,1,1,2,2,1,1,1,1,1,2,3,1,1,1,1,1,1,1,1,3,2,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,6,1,1,2,1,1,1,1,1,1,3,1,2,3,89
OG0006232,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,2,2,1,1,5,2,1,2,0,1,2,1,1,1,1,1,1,1,1,1,1,2,2,1,3,2,1,1,1,1,1,1,1,1,1,6,1,15,1,89
OG0006240,1,1,1,1,3,1,1,1,2,2,1,1,1,1,1,2,1,1,1,1,4,1,1,5,5,2,4,1,1,2,2,1,1,1,1,1,1,1,1,1,2,2,2,4,1,1,1,1,1,1,1,1,1,1,4,1,1,1,89
OG0006242,1,3,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,7,2,2,2,1,2,2,1,2,7,2,1,1,1,1,1,1,3,2,1,3,1,1,1,1,1,1,1,1,1,1,4,1,1,1,89
OG0006252,1,4,2,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,4,1,1,5,3,1,2,1,1,2,1,1,1,1,1,1,4,1,1,3,1,2,1,4,2,1,2,1,1,1,1,0,1,1,5,1,1,1,89
OG0006256,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,3,2,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,20,1,1,1,1,1,1,1,1,1,4,1,1,1,89
OG0006263,2,2,1,1,1,1,1,1,3,2,1,2,3,2,1,1,1,1,1,1,2,1,1,4,1,2,1,1,1,1,2,1,1,1,1,1,1,1,2,1,3,3,1,1,1,1,1,1,1,1,1,1,1,4,7,1,3,1,89
OG0006281,1,5,9,1,1,1,1,1,1,1,1,1,3,1,1,2,1,1,1,1,2,1,1,3,2,1,2,1,1,2,1,1,1,1,1,1,2,2,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,2,4,3,1,1,89
OG0006284,1,1,1,1,1,1,2,2,4,1,1,1,1,1,1,1,2,1,1,1,1,1,1,5,1,1,1,3,1,4,1,1,3,1,1,1,1,1,2,1,1,4,1,2,1,1,1,2,1,1,2,1,2,1,4,3,2,1,89
OG0006298,1,4,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,4,1,5,1,1,1,6,1,1,2,2,1,1,1,1,1,2,2,2,2,3,1,1,1,2,1,2,1,1,2,1,4,1,1,1,89
OG0006310,1,1,1,1,2,1,1,1,3,3,1,1,2,1,1,1,1,1,1,1,1,1,2,4,2,1,2,1,1,3,1,1,2,1,1,1,1,1,2,1,1,3,1,2,2,1,2,1,1,1,1,1,1,1,7,1,1,4,88
OG0006313,1,1,1,1,1,1,1,1,1,2,0,2,6,1,1,3,1,1,1,2,2,1,3,10,3,1,2,1,1,1,1,1,3,1,1,1,1,1,1,1,1,2,1,1,1,3,1,1,1,1,1,2,1,1,1,1,1,1,88
OG0006336,1,1,1,1,1,1,1,1,1,1,1,2,4,1,1,1,1,1,1,2,1,1,1,5,2,2,2,1,2,1,9,1,1,2,1,1,1,2,1,1,1,2,1,1,1,1,1,1,2,2,1,2,1,1,4,1,1,1,88
OG0006340,1,3,1,1,2,1,1,1,1,1,2,3,1,1,1,3,0,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,2,1,1,10,1,1,1,1,1,1,0,1,1,5,6,1,1,88
OG0006343,1,3,3,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,5,2,1,2,1,1,1,1,2,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,2,1,1,1,3,1,13,2,88
OG0006344,8,2,2,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,2,2,1,3,2,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,11,1,1,1,88
OG0006347,2,1,1,1,10,1,1,1,2,2,2,2,1,1,1,1,1,1,1,1,1,3,1,3,1,1,1,1,2,2,2,1,1,1,1,1,2,1,1,1,1,2,1,3,1,1,1,1,1,1,1,2,1,1,4,2,1,1,88
OG0006365,3,1,2,1,1,1,2,1,3,4,1,1,1,1,1,1,1,1,1,1,1,1,1,7,2,1,2,1,2,5,1,1,2,1,1,1,1,3,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,4,2,1,1,88
OG0006370,1,1,1,1,5,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,4,3,1,3,1,1,4,1,1,1,1,2,1,1,1,1,2,2,2,1,5,1,1,1,1,1,1,1,1,1,1,6,1,2,1,88
OG0006374,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,5,2,2,2,1,2,2,2,1,6,1,1,1,1,2,1,2,1,2,1,1,1,3,1,1,1,3,1,1,1,1,3,1,1,6,88
OG0006375,2,1,1,1,1,1,1,1,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,3,2,1,2,1,1,3,1,1,1,1,2,1,1,1,1,1,1,2,1,1,6,2,2,1,1,1,2,1,1,2,7,1,1,2,88
OG0006382,1,1,1,1,1,1,3,3,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,4,2,1,1,1,1,1,1,1,1,3,1,2,1,3,1,1,1,3,1,1,1,1,1,2,3,3,1,5,2,1,4,1,1,1,88
OG0006388,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,2,6,4,1,4,1,2,2,3,1,1,1,3,1,1,2,1,1,2,2,1,2,3,1,1,1,1,1,1,1,1,1,4,2,1,1,88
OG0006402,1,3,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,4,2,1,2,1,1,2,2,1,1,1,1,1,1,1,1,2,2,2,1,4,4,1,1,1,1,1,1,1,1,1,3,1,1,9,88
OG0006403,1,1,1,3,2,1,1,4,2,2,1,1,1,1,1,1,1,1,1,1,2,1,1,4,3,3,2,2,1,2,1,1,1,1,1,1,1,1,1,1,2,2,1,4,1,1,1,1,1,1,1,1,1,1,7,1,1,1,88
OG0006424,1,1,1,1,6,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,2,1,1,3,5,1,4,1,1,3,1,1,2,1,1,2,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,7,1,1,1,88
OG0006440,2,2,1,1,1,1,1,3,2,2,1,1,1,1,1,3,1,1,1,1,1,1,1,3,3,1,3,1,1,1,1,1,4,1,1,1,1,1,1,1,3,2,2,1,1,1,1,2,1,1,1,1,2,1,7,1,1,1,87
OG0006442,1,1,1,1,1,1,2,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,4,2,1,3,2,1,1,1,1,1,0,1,1,1,1,1,1,1,2,1,0,1,1,1,1,1,1,1,0,1,1,4,19,1,1,87
OG0006446,1,1,1,1,1,1,1,1,4,1,1,1,3,1,1,1,1,1,1,6,1,1,1,3,2,1,2,1,1,2,1,2,1,2,1,1,2,1,1,1,1,1,1,8,2,1,1,1,1,1,1,1,1,1,4,1,1,1,87
OG0006448,2,2,2,1,0,3,1,1,1,1,1,1,1,1,1,1,1,1,2,1,0,1,1,3,3,1,3,2,1,1,1,16,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,2,1,0,2,87
OG0006450,1,6,3,1,2,1,1,1,3,3,1,0,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,2,1,2,2,1,1,1,1,1,1,1,1,1,2,2,1,2,1,4,1,1,1,1,1,1,1,1,6,3,1,1,87
OG0006460,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,8,2,2,2,4,1,2,1,1,2,1,1,1,1,1,1,2,3,2,1,3,2,1,1,1,1,1,1,1,1,4,3,1,1,2,87
OG0006488,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,9,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,7,5,1,1,1,1,2,1,1,1,4,1,2,2,87
OG0006490,1,1,2,3,0,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,8,1,4,3,1,3,3,0,2,2,1,1,1,1,1,1,1,1,1,2,2,1,4,3,1,1,1,1,1,1,1,1,1,3,1,1,1,87
OG0006496,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,0,5,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,3,2,1,1,1,1,1,1,1,2,1,1,1,1,4,1,16,1,87
OG0006509,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,2,1,1,1,1,4,9,2,1,2,1,1,2,4,1,1,3,1,1,1,1,1,1,1,2,1,1,6,1,1,1,1,2,1,0,1,1,4,1,1,2,87
OG0006524,3,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1,2,7,2,1,2,1,2,2,1,1,2,3,1,1,1,1,1,2,1,2,3,1,1,1,1,1,1,1,1,1,1,1,3,1,1,6,87
OG0006527,1,1,1,1,1,1,2,1,1,1,1,3,1,1,1,2,1,1,1,1,1,1,1,6,2,1,2,1,1,4,1,1,1,2,1,2,1,2,1,1,1,4,1,1,1,1,1,1,2,1,1,0,1,1,4,2,4,3,87
OG0006534,1,1,1,2,2,2,2,1,3,3,1,1,1,1,1,1,1,1,1,1,1,2,1,3,2,1,2,1,1,2,1,1,1,1,1,1,2,2,1,1,1,1,7,3,1,1,1,1,1,1,1,1,1,1,4,1,3,1,87
OG0006536,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,2,1,1,6,2,2,2,1,3,1,2,2,1,1,1,1,1,1,1,1,2,2,1,4,1,2,1,1,1,1,2,1,1,1,6,1,1,3,87
OG0006539,1,1,1,2,1,3,1,1,5,5,1,1,1,1,2,1,4,2,2,1,2,3,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,0,1,1,1,1,1,1,1,1,1,2,8,1,1,2,87
OG0006550,1,1,1,2,0,2,1,1,4,4,1,1,1,1,1,1,2,1,1,1,1,2,1,6,3,3,4,3,1,1,2,1,1,1,4,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,87
OG0006560,1,1,1,1,1,1,1,2,3,2,1,1,1,1,1,1,1,1,1,1,2,1,1,3,2,1,2,2,1,2,1,1,2,1,1,2,1,1,1,1,1,4,1,2,1,1,1,2,1,1,1,1,2,2,10,1,1,1,87
OG0006565,1,1,1,5,2,1,1,1,2,2,1,1,1,1,1,1,1,1,1,2,1,1,1,5,2,1,2,2,1,2,1,1,1,1,1,1,1,1,1,1,1,2,0,5,1,1,1,1,1,1,1,1,1,1,4,5,2,2,87
OG0006568,1,1,3,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,3,2,1,5,2,1,2,1,3,1,1,3,1,1,1,1,1,1,1,1,2,2,1,1,4,2,1,1,1,1,1,1,1,1,6,1,1,2,87
OG0006597,2,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,4,1,2,1,4,1,2,1,1,3,1,1,2,3,1,2,1,1,6,1,2,1,1,3,1,1,2,1,1,1,1,7,1,1,1,86
OG0006604,2,1,1,1,1,1,1,1,1,1,1,4,1,1,1,2,1,1,1,1,2,1,1,5,2,1,2,2,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,2,1,1,2,1,1,1,1,6,6,1,1,86
OG0006606,1,2,2,1,1,1,1,1,2,3,2,1,1,1,1,1,1,1,1,1,1,1,1,5,2,1,2,1,2,2,2,1,1,2,2,1,1,2,1,1,1,2,1,3,1,1,1,1,1,1,1,1,1,1,8,1,1,1,86
OG0006607,10,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1,2,2,1,1,1,1,4,1,2,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,3,4,1,1,1,2,1,1,1,1,1,3,1,1,1,86
OG0006608,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1,1,1,1,1,1,1,3,2,1,1,2,1,6,1,1,1,1,5,1,0,1,1,4,6,2,1,6,1,1,1,1,1,1,1,1,1,1,0,1,1,1,86
OG0006610,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,4,3,4,1,2,2,1,1,2,1,3,1,1,1,1,1,2,2,2,3,1,1,1,1,1,1,1,1,1,1,4,1,1,2,86
OG0006611,1,1,1,1,1,1,1,1,3,2,1,1,1,1,1,1,1,1,1,1,0,3,1,4,2,2,2,1,1,2,2,1,5,1,2,1,1,1,1,2,2,2,1,2,1,1,1,1,1,1,1,1,1,1,8,1,1,1,86
OG0006613,2,1,2,1,1,1,1,1,3,1,1,1,1,1,1,0,1,1,1,12,1,2,2,5,2,1,2,1,0,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,3,1,1,1,1,3,1,1,1,1,3,0,1,1,86
