Orthogroup	gbM	teM	unM	Unclassified	Missing	Total	percent_gbM	percent_teM	percent_unM	percent_Unclassified	percent_Missing	cluster
N0.HOG0016120	9	0	14	24	1	48	0.118421052631579	0	0.318181818181818	0.266666666666667	0.0188679245283019	2
N0.HOG0016122	22	0	16	7	2	47	0.392857142857143	0	0.363636363636364	0.134615384615385	0.0350877192982456	1
N0.HOG0016124	1	3	36	6	2	48	0.0166666666666667	0.0454545454545455	0.8	0.109090909090909	0.04	3
N0.HOG0016126	15	1	6	26	0	48	0.340909090909091	0.0196078431372549	0.127659574468085	0.40625	0	2
N0.HOG0016127	23	2	8	14	2	49	0.298701298701299	0.0333333333333333	0.16	0.25	0.04	1
N0.HOG0016128	10	3	20	12	4	49	0.217391304347826	0.0508474576271186	0.425531914893617	0.19047619047619	0.0666666666666667	3
N0.HOG0016129	31	2	4	11	1	49	0.584905660377358	0.04	0.0888888888888889	0.196428571428571	0.0185185185185185	1
N0.HOG0016130	25	1	9	14	0	49	0.409836065573771	0.0188679245283019	0.204545454545455	0.233333333333333	0	1
N0.HOG0016131	30	1	10	7	2	50	0.508474576271186	0.0178571428571429	0.222222222222222	0.120689655172414	0.0363636363636364	1
N0.HOG0016136	30	2	5	11	0	48	0.638297872340426	0.0377358490566038	0.125	0.164179104477612	0	1
N0.HOG0016137	11	2	11	22	0	46	0.22	0.0344827586206897	0.244444444444444	0.488888888888889	0	2
N0.HOG0016138	10	0	13	22	1	46	0.178571428571429	0	0.288888888888889	0.415094339622642	0.02	2
N0.HOG0016139	4	0	22	17	2	45	0.0851063829787234	0	0.468085106382979	0.22972972972973	0.04	2
N0.HOG0016145	14	1	18	13	1	47	0.28	0.0178571428571429	0.375	0.30952380952381	0.0161290322580645	2
N0.HOG0016146	19	2	10	15	1	47	0.387755102040816	0.037037037037037	0.192307692307692	0.288461538461538	0.0222222222222222	1
N0.HOG0016147	10	0	13	23	2	48	0.222222222222222	0	0.288888888888889	0.450980392156863	0.0357142857142857	2
N0.HOG0016148	13	2	13	19	1	48	0.276595744680851	0.0303030303030303	0.276595744680851	0.345454545454545	0.0153846153846154	2
N0.HOG0016149	25	3	9	11	2	50	0.342465753424658	0.0535714285714286	0.173076923076923	0.154929577464789	0.0416666666666667	1
N0.HOG0016150	0	1	34	1	7	43	0	0.0178571428571429	0.693877551020408	0.0175438596491228	0.125	3
N0.HOG0016151	0	0	38	1	4	43	0	0	0.791666666666667	0.0144927536231884	0.0689655172413793	3
N0.HOG0016152	10	0	10	25	2	47	0.142857142857143	0	0.212765957446809	0.581395348837209	0.0384615384615385	2
N0.HOG0016153	32	6	1	7	2	48	0.507936507936508	0.113207547169811	0.0212765957446809	0.112903225806452	0.037037037037037	1
N0.HOG0016154	26	3	7	12	0	48	0.577777777777778	0.0461538461538462	0.14	0.24	0	1
N0.HOG0016155	34	1	5	6	2	48	0.618181818181818	0.015625	0.111111111111111	0.117647058823529	0.0357142857142857	1
N0.HOG0016156	39	1	3	5	3	51	0.906976744186046	0.02	0.0652173913043478	0.0909090909090909	0.0535714285714286	1
N0.HOG0016157	16	0	6	25	1	48	0.225352112676056	0	0.127659574468085	0.396825396825397	0.0169491525423729	2
N0.HOG0016158	10	1	17	18	4	50	0.204081632653061	0.0175438596491228	0.414634146341463	0.272727272727273	0.0851063829787234	2
N0.HOG0016159	1	0	24	17	3	45	0.0178571428571429	0	0.521739130434783	0.220779220779221	0.0566037735849057	3
N0.HOG0016160	2	1	26	13	2	44	0.028169014084507	0.0188679245283019	0.577777777777778	0.240740740740741	0.037037037037037	3
N0.HOG0016161	11	0	10	26	2	49	0.159420289855072	0	0.232558139534884	0.440677966101695	0.0416666666666667	2
N0.HOG0016162	30	2	8	7	2	49	0.441176470588235	0.0344827586206897	0.173913043478261	0.125	0.0350877192982456	1
N0.HOG0016166	35	3	3	6	3	50	0.74468085106383	0.0638297872340425	0.0666666666666667	0.109090909090909	0.0625	1
N0.HOG0016167	8	0	12	26	1	47	0.145454545454545	0	0.230769230769231	0.376811594202899	0.0188679245283019	2
N0.HOG0016168	9	1	18	18	3	49	0.155172413793103	0.0181818181818182	0.36	0.230769230769231	0.075	2
N0.HOG0016173	17	2	8	17	1	45	0.246376811594203	0.0357142857142857	0.177777777777778	0.320754716981132	0.0166666666666667	2
N0.HOG0016174	14	1	9	19	2	45	0.191780821917808	0.02	0.183673469387755	0.358490566037736	0.0408163265306122	2
N0.HOG0016175	24	0	5	16	2	47	0.5	0	0.108695652173913	0.271186440677966	0.0357142857142857	1
N0.HOG0016176	34	0	3	6	2	45	0.548387096774194	0	0.0697674418604651	0.111111111111111	0.0392156862745098	1
N0.HOG0016177	9	1	11	24	2	47	0.147540983606557	0.0192307692307692	0.224489795918367	0.489795918367347	0.0350877192982456	2
N0.HOG0016178	25	0	7	10	4	46	0.347222222222222	0	0.148936170212766	0.217391304347826	0.0689655172413793	1
N0.HOG0016179	37	1	6	4	0	48	0.74	0.0178571428571429	0.127659574468085	0.0754716981132075	0	1
N0.HOG0016180	30	0	6	10	0	46	0.566037735849057	0	0.136363636363636	0.185185185185185	0	1
N0.HOG0016181	20	2	8	20	1	51	0.4	0.0363636363636364	0.166666666666667	0.3125	0.02	1
N0.HOG0016182	11	3	11	20	2	47	0.183333333333333	0.0625	0.244444444444444	0.416666666666667	0.037037037037037	2
N0.HOG0016183	9	2	22	11	5	49	0.136363636363636	0.037037037037037	0.458333333333333	0.268292682926829	0.0862068965517241	2
N0.HOG0016184	4	2	23	16	1	46	0.0555555555555556	0.0377358490566038	0.479166666666667	0.347826086956522	0.0188679245283019	2
N0.HOG0016185	34	3	5	8	2	52	0.666666666666667	0.06	0.106382978723404	0.170212765957447	0.0408163265306122	1
N0.HOG0016186	1	2	39	1	2	45	0.0212765957446809	0.0377358490566038	0.866666666666667	0.0185185185185185	0.037037037037037	3
N0.HOG0016187	24	1	11	17	0	53	0.428571428571429	0.0185185185185185	0.268292682926829	0.298245614035088	0	1
N0.HOG0016188	37	2	3	2	1	45	0.69811320754717	0.0357142857142857	0.0638297872340425	0.0277777777777778	0.0192307692307692	1
N0.HOG0016189	20	2	9	16	1	48	0.277777777777778	0.0344827586206897	0.2	0.355555555555556	0.0196078431372549	2
N0.HOG0016191	36	2	3	6	3	50	0.455696202531646	0.0333333333333333	0.0666666666666667	0.15	0.0508474576271186	1
N0.HOG0016192	30	4	5	9	0	48	0.416666666666667	0.0851063829787234	0.111111111111111	0.152542372881356	0	1
N0.HOG0016193	13	2	26	7	1	49	0.270833333333333	0.032258064516129	0.590909090909091	0.107692307692308	0.0196078431372549	3
N0.HOG0016195	3	6	19	15	3	46	0.0340909090909091	0.101694915254237	0.441860465116279	0.230769230769231	0.0555555555555556	3
N0.HOG0016196	23	2	7	13	6	51	0.267441860465116	0.0333333333333333	0.155555555555556	0.228070175438596	0.115384615384615	1
