Orthogroup	gbM	teM	Unmethylated	Unclassified	Missing	Total	percent_gbM	percent_teM	percent_Unmethylated	percent_Unclassified	percent_Missing	cluster
N0.HOG0014824	5	1	17	25	4	52	0.0961538461538462	0.0192307692307692	0.326923076923077	0.480769230769231	0.0769230769230769	1
N0.HOG0014825	23	1	11	14	2	51	0.450980392156863	0.0196078431372549	0.215686274509804	0.274509803921569	0.0392156862745098	1
N0.HOG0014826	16	0	22	10	1	49	0.326530612244898	0	0.448979591836735	0.204081632653061	0.0204081632653061	1
N0.HOG0014827	1	1	35	3	4	44	0.0227272727272727	0.0227272727272727	0.795454545454545	0.0681818181818182	0.0909090909090909	3
N0.HOG0014828	13	1	23	16	2	55	0.236363636363636	0.0181818181818182	0.418181818181818	0.290909090909091	0.0363636363636364	1
N0.HOG0014837	8	1	13	23	3	48	0.166666666666667	0.0208333333333333	0.270833333333333	0.479166666666667	0.0625	1
N0.HOG0014838	6	2	25	15	1	49	0.122448979591837	0.0408163265306122	0.510204081632653	0.306122448979592	0.0204081632653061	1
N0.HOG0014842	11	3	16	20	3	53	0.207547169811321	0.0566037735849057	0.30188679245283	0.377358490566038	0.0566037735849057	1
N0.HOG0014843	10	2	10	27	2	51	0.196078431372549	0.0392156862745098	0.196078431372549	0.529411764705882	0.0392156862745098	1
N0.HOG0014844	11	3	7	28	3	52	0.211538461538462	0.0576923076923077	0.134615384615385	0.538461538461538	0.0576923076923077	1
N0.HOG0014845	0	1	38	4	2	45	0	0.0222222222222222	0.844444444444444	0.0888888888888889	0.0444444444444444	3
N0.HOG0014846	15	1	19	20	0	55	0.272727272727273	0.0181818181818182	0.345454545454545	0.363636363636364	0	1
N0.HOG0014847	28	2	10	10	1	51	0.549019607843137	0.0392156862745098	0.196078431372549	0.196078431372549	0.0196078431372549	2
N0.HOG0014848	24	1	13	11	3	52	0.461538461538462	0.0192307692307692	0.25	0.211538461538462	0.0576923076923077	1
N0.HOG0014849	0	4	32	10	3	49	0	0.0816326530612245	0.653061224489796	0.204081632653061	0.0612244897959184	3
N0.HOG0014850	20	2	16	12	4	54	0.37037037037037	0.037037037037037	0.296296296296296	0.222222222222222	0.0740740740740741	1
N0.HOG0014851	10	2	24	14	2	52	0.192307692307692	0.0384615384615385	0.461538461538462	0.269230769230769	0.0384615384615385	1
N0.HOG0014852	22	0	12	20	0	54	0.407407407407407	0	0.222222222222222	0.37037037037037	0	1
N0.HOG0014853	14	4	13	16	3	50	0.28	0.08	0.26	0.32	0.06	1
N0.HOG0014854	11	2	17	23	0	53	0.207547169811321	0.0377358490566038	0.320754716981132	0.433962264150943	0	1
N0.HOG0014855	22	4	10	15	0	51	0.431372549019608	0.0784313725490196	0.196078431372549	0.294117647058824	0	1
N0.HOG0014856	27	2	10	8	1	48	0.5625	0.0416666666666667	0.208333333333333	0.166666666666667	0.0208333333333333	2
N0.HOG0014857	16	1	15	16	2	50	0.32	0.02	0.3	0.32	0.04	1
N0.HOG0014858	1	4	26	13	5	49	0.0204081632653061	0.0816326530612245	0.530612244897959	0.26530612244898	0.102040816326531	1
N0.HOG0014859	10	1	17	25	0	53	0.188679245283019	0.0188679245283019	0.320754716981132	0.471698113207547	0	1
N0.HOG0014860	8	3	17	19	1	48	0.166666666666667	0.0625	0.354166666666667	0.395833333333333	0.0208333333333333	1
N0.HOG0014865	25	2	5	17	3	52	0.480769230769231	0.0384615384615385	0.0961538461538462	0.326923076923077	0.0576923076923077	1
N0.HOG0014866	38	0	5	8	1	52	0.730769230769231	0	0.0961538461538462	0.153846153846154	0.0192307692307692	2
N0.HOG0014867	5	2	29	4	6	46	0.108695652173913	0.0434782608695652	0.630434782608696	0.0869565217391304	0.130434782608696	3
N0.HOG0014868	33	1	7	7	1	49	0.673469387755102	0.0204081632653061	0.142857142857143	0.142857142857143	0.0204081632653061	2
N0.HOG0014869	25	0	11	12	0	48	0.520833333333333	0	0.229166666666667	0.25	0	2
N0.HOG0014871	31	3	3	9	1	47	0.659574468085106	0.0638297872340425	0.0638297872340425	0.191489361702128	0.0212765957446809	2
N0.HOG0014872	15	1	9	19	3	47	0.319148936170213	0.0212765957446809	0.191489361702128	0.404255319148936	0.0638297872340425	1
N0.HOG0014877	4	3	12	29	1	49	0.0816326530612245	0.0612244897959184	0.244897959183673	0.591836734693878	0.0204081632653061	1
N0.HOG0014878	2	2	31	9	1	45	0.0444444444444444	0.0444444444444444	0.688888888888889	0.2	0.0222222222222222	3
N0.HOG0014879	28	2	11	7	4	52	0.538461538461538	0.0384615384615385	0.211538461538462	0.134615384615385	0.0769230769230769	2
