Species,Classification,Orthogroup,Count
Cmelo,Unmethylated,OG0000009,21
Cmelo,Unmethylated,OG0000020,23
Cmelo,Unmethylated,OG0000021,21
Cmelo,Unmethylated,OG0000027,20
Cmelo,Unmethylated,OG0000033,21
Cmelo,Unclassified,OG0000004,11
Cmelo,Unclassified,OG0000267,12
Cmelo,Unclassified,OG0000470,18
Cmelo,Unclassified,OG0010857,11
Cmelo,Unclassified,OG0011615,15
Cmelo,Missing,OG0000242,25
Cmelo,Missing,OG0000300,23
Cmelo,Missing,OG0000470,41
Cmelo,Missing,OG0001239,23
Cmelo,Missing,OG0003612,27
Cmelo,Missing,OG0011148,27
Cmelo,Missing,OG0012315,23
Crubella,gbM,OG0000003,14
Crubella,gbM,OG0000007,30
Crubella,gbM,OG0000019,19
Crubella,gbM,OG0000026,13
Crubella,gbM,OG0000078,13
Crubella,gbM,OG0000141,13
Crubella,gbM,OG0000145,13
Crubella,TE.like,OG0000003,33
Crubella,TE.like,OG0000078,29
Crubella,TE.like,OG0000096,27
Crubella,TE.like,OG0000141,24
Crubella,TE.like,OG0013179,22
Crubella,Unmethylated,OG0000002,44
Crubella,Unmethylated,OG0000007,152
Crubella,Unmethylated,OG0000078,96
Crubella,Unmethylated,OG0000141,66
Crubella,Unmethylated,OG0000185,47
Crubella,Unclassified,OG0000007,42
Crubella,Unclassified,OG0000013,12
Crubella,Unclassified,OG0000016,19
Crubella,Unclassified,OG0000078,23
Crubella,Unclassified,OG0000141,12
Crubella,Unclassified,OG0000420,17
Crubella,Unclassified,OG0000488,12
Crubella,Missing,OG0000291,3
Crubella,Missing,OG0000420,9
Crubella,Missing,OG0000913,3
Crubella,Missing,OG0007823,4
Crubella,Missing,OG0010731,3
Crubella,Missing,OG0014424,3
Crubella,Missing,OG0024574,4
Csativus,gbM,OG0000001,10
Csativus,gbM,OG0000013,11
Csativus,gbM,OG0000019,12
Csativus,gbM,OG0000029,17
Csativus,gbM,OG0000039,11
Csativus,gbM,OG0000042,10
Csativus,TE.like,OG0000030,19
Csativus,TE.like,OG0000054,11
Csativus,TE.like,OG0000267,12
Csativus,TE.like,OG0000459,11
Csativus,TE.like,OG0000635,12
Csativus,Unmethylated,OG0000001,20
Csativus,Unmethylated,OG0000002,24
Csativus,Unmethylated,OG0000020,22
Csativus,Unmethylated,OG0000021,20
Csativus,Unmethylated,OG0000033,22
Csativus,Unmethylated,OG0000047,26
Csativus,Unclassified,OG0000003,6
Csativus,Unclassified,OG0000004,6
Csativus,Unclassified,OG0000021,11
Csativus,Unclassified,OG0000033,6
Csativus,Unclassified,OG0000047,8
Csativus,Unclassified,OG0000089,7
Csativus,Missing,OG0000987,20
Csativus,Missing,OG0001239,19
Csativus,Missing,OG0008449,13
Csativus,Missing,OG0014402,10
Csativus,Missing,OG0017089,10
Egrandis,gbM,OG0000004,11
Egrandis,gbM,OG0000016,12
Egrandis,gbM,OG0000019,17
Egrandis,gbM,OG0000029,11
Egrandis,gbM,OG0000031,17
Egrandis,gbM,OG0000039,13
Egrandis,gbM,OG0000042,11
Egrandis,TE.like,OG0000005,34
Egrandis,TE.like,OG0000014,45
Egrandis,TE.like,OG0000016,55
Egrandis,TE.like,OG0000023,45
Egrandis,TE.like,OG0005704,48
Egrandis,Unmethylated,OG0000001,71
Egrandis,Unmethylated,OG0000002,40
Egrandis,Unmethylated,OG0000004,43
Egrandis,Unmethylated,OG0000018,38
Egrandis,Unmethylated,OG0000035,45
Egrandis,Unclassified,OG0000003,30
Egrandis,Unclassified,OG0000004,60
Egrandis,Unclassified,OG0000005,38
Egrandis,Unclassified,OG0000014,32
Egrandis,Unclassified,OG0000016,40
Egrandis,Unclassified,OG0000023,30
Egrandis,Missing,OG0000003,42
Egrandis,Missing,OG0000005,72
Egrandis,Missing,OG0000014,55
Egrandis,Missing,OG0000035,37
Egrandis,Missing,OG0000158,52
Eguineensis,gbM,OG0000145,9
Eguineensis,gbM,OG0000532,10
Eguineensis,gbM,OG0000697,6
Eguineensis,gbM,OG0000801,6
Eguineensis,gbM,OG0001554,8
Eguineensis,TE.like,OG0000532,19
Eguineensis,TE.like,OG0000850,26
Eguineensis,TE.like,OG0000945,30
Eguineensis,TE.like,OG0001813,23
Eguineensis,TE.like,OG0003544,16
Eguineensis,Unmethylated,OG0000006,27
Eguineensis,Unmethylated,OG0000008,29
Eguineensis,Unmethylated,OG0000009,32
Eguineensis,Unmethylated,OG0000045,25
Eguineensis,Unmethylated,OG0000515,27
Eguineensis,Unclassified,OG0000532,73
Eguineensis,Unclassified,OG0000850,71
Eguineensis,Unclassified,OG0000945,65
Eguineensis,Unclassified,OG0001813,60
Eguineensis,Unclassified,OG0003544,45
Eguineensis,Missing,OG0000532,228
Eguineensis,Missing,OG0000850,167
Eguineensis,Missing,OG0000945,156
Eguineensis,Missing,OG0001126,197
Eguineensis,Missing,OG0001554,148
Esalsugineum,gbM,OG0000025,2
Esalsugineum,gbM,OG0000078,2
Esalsugineum,gbM,OG0011606,5
Esalsugineum,gbM,OG0012298,3
Esalsugineum,gbM,OG0013272,2
Esalsugineum,TE.like,OG0000096,41
Esalsugineum,TE.like,OG0000141,37
Esalsugineum,TE.like,OG0000400,38
Esalsugineum,TE.like,OG0002628,46
Esalsugineum,TE.like,OG0011286,52
Esalsugineum,Unmethylated,OG0000001,46
Esalsugineum,Unmethylated,OG0000007,158
Esalsugineum,Unmethylated,OG0000078,108
Esalsugineum,Unmethylated,OG0000141,65
Esalsugineum,Unmethylated,OG0000185,53
Esalsugineum,Unclassified,OG0000078,7
Esalsugineum,Unclassified,OG0000141,11
Esalsugineum,Unclassified,OG0000420,7
Esalsugineum,Unclassified,OG0012835,5
Esalsugineum,Unclassified,OG0017794,7
Esalsugineum,Missing,OG0000053,5
Esalsugineum,Missing,OG0000420,15
Esalsugineum,Missing,OG0011060,5
Esalsugineum,Missing,OG0012022,5
Esalsugineum,Missing,OG0012387,6
Esalsugineum,Missing,OG0012835,7
Esalsugineum,Missing,OG0015833,5
Fvesca,gbM,OG0000003,12
Fvesca,gbM,OG0000007,12
Fvesca,gbM,OG0000013,14
Fvesca,gbM,OG0000019,19
Fvesca,gbM,OG0000392,13
Fvesca,TE.like,OG0000581,32
Fvesca,TE.like,OG0002944,22
Fvesca,TE.like,OG0009291,30
Fvesca,TE.like,OG0012435,20
Fvesca,TE.like,OG0013222,17
Fvesca,Unmethylated,OG0000000,106
Fvesca,Unmethylated,OG0000001,43
Fvesca,Unmethylated,OG0000002,38
Fvesca,Unmethylated,OG0000003,56
Fvesca,Unmethylated,OG0000018,46
Fvesca,Unclassified,OG0000000,17
Fvesca,Unclassified,OG0000004,9
Fvesca,Unclassified,OG0000013,12
Fvesca,Unclassified,OG0000019,8
Fvesca,Unclassified,OG0012435,10
Fvesca,Missing,OG0011075,12
Fvesca,Missing,OG0013644,8
Fvesca,Missing,OG0014530,18
Fvesca,Missing,OG0015028,8
Fvesca,Missing,OG0017795,11
Fxananassa,gbM,OG0000003,27
Fxananassa,gbM,OG0000013,30
Fxananassa,gbM,OG0000019,37
Fxananassa,gbM,OG0000029,19
Fxananassa,gbM,OG0000031,20
Fxananassa,TE.like,OG0000300,116
Fxananassa,TE.like,OG0000581,158
Fxananassa,TE.like,OG0000772,156
Fxananassa,TE.like,OG0001246,118
Fxananassa,TE.like,OG0002035,74
Fxananassa,Unmethylated,OG0000000,251
Fxananassa,Unmethylated,OG0000001,128
Fxananassa,Unmethylated,OG0000003,84
Fxananassa,Unmethylated,OG0000012,84
Fxananassa,Unmethylated,OG0000018,123
Fxananassa,Unclassified,OG0000000,31
Fxananassa,Unclassified,OG0000019,32
Fxananassa,Unclassified,OG0000300,32
Fxananassa,Unclassified,OG0000581,36
Fxananassa,Unclassified,OG0000772,39
Fxananassa,Missing,OG0000300,70
Fxananassa,Missing,OG0000581,92
Fxananassa,Missing,OG0000772,73
Fxananassa,Missing,OG0001246,75
Fxananassa,Missing,OG0005705,78
Gmax,gbM,OG0000029,14
