,tau,Feature
AT2G05540,0.54730513888866,AT2G05540
AT2G05580,0.838538326850515,AT2G05580
AT2G05590,0.206493312090281,AT2G05590
AT2G05600,0.94951325579982,AT2G05600
AT2G05620,0.246710933541319,AT2G05620
AT2G05630,0.234957475584632,AT2G05630
AT2G05632,0.236680554147679,AT2G05632
AT2G05635,0.879872978806453,AT2G05635
AT2G05642,0.899295438002827,AT2G05642
AT2G05645,0.969035580956267,AT2G05645
AT2G05655,0.749857544042577,AT2G05655
AT2G05710,0.205156036868057,AT2G05710
AT2G05720,0.89945507757522,AT2G05720
AT2G05752,0.951115541604195,AT2G05752
AT2G05755,0.105550614035335,AT2G05755
AT2G05753,0.539126139925569,AT2G05753
AT2G05760,0.172852381161277,AT2G05760
AT2G05786,0.943769199163501,AT2G05786
AT2G05790,0.223151540308741,AT2G05790
AT2G05810,0.149601629631899,AT2G05810
AT2G05830,0.103975070945588,AT2G05830
AT2G05840,0.14091549064676,AT2G05840
AT2G05850,0.804663953513274,AT2G05850
AT2G05900,0.856372320920459,AT2G05900
AT2G05910,0.607259534695726,AT2G05910
AT2G05915,0.763565693705673,AT2G05915
AT2G05920,0.213203903254079,AT2G05920
AT2G05940,0.290115787510432,AT2G05940
AT2G05970,0.889130307328526,AT2G05970
AT2G05990,0.178351359230433,AT2G05990
AT2G06000,0.0880641577919758,AT2G06000
AT2G06005,0.389108359754116,AT2G06005
AT2G06010,0.297126143687356,AT2G06010
AT2G06020,0.923791224010762,AT2G06020
AT2G06025,0.169723790981907,AT2G06025
AT2G06040,0.377684415970585,AT2G06040
AT2G06050,0.338057275232107,AT2G06050
AT2G06090,0.837679380903275,AT2G06090
AT2G06095,0.980882380601638,AT2G06095
AT2G06105,0.933493765675106,AT2G06105
AT2G06166,0.972146271131847,AT2G06166
AT2G06200,0.515964009626855,AT2G06200
AT2G06210,0.0476770046438775,AT2G06210
AT2G06255,0.353933124185973,AT2G06255
AT2G06265,0.978818958428856,AT2G06265
AT2G06420,0.932375095355308,AT2G06420
AT2G06425,0.954898600082694,AT2G06425
AT2G06500,0.951207900771394,AT2G06500
AT2G06510,0.205101137777177,AT2G06510
AT2G06520,0.191308056717109,AT2G06520
AT2G06530,0.145799088669226,AT2G06530
AT2G06541,0.980211402742795,AT2G06541
AT2G06555,0.951242036079153,AT2G06555
AT2G06565,0.947355927057379,AT2G06565
AT2G06570,0.972458345505169,AT2G06570
